date,time,open,high,low,close,volume
20160629,905,21771,21807,21730,21766,82300
20160629,910,21766,21766,21721,21743,43601
20160629,915,21743,21784,21739,21784,31923
20160629,920,21784,21798,21775,21780,58702
20160629,925,21784,21798,21775,21784,15793
20160629,930,21798,21807,21789,21793,17603
20160629,935,21793,21793,21775,21793,23550
20160629,940,21789,21820,21789,21816,44731
20160629,945,21820,21848,21820,21843,91522
20160629,950,21843,21852,21829,21834,60921
20160629,955,21834,21843,21811,21816,44793
20160629,1000,21816,21825,21798,21807,40446
20160629,1005,21807,21838,21798,21829,31982
20160629,1010,21829,21838,21811,21825,21042
20160629,1015,21825,21834,21825,21825,31058
20160629,1020,21825,21829,21811,21811,18211
20160629,1025,21816,21834,21816,21820,110303
20160629,1030,21820,21834,21816,21834,150135
20160629,1035,21834,21884,21829,21884,101359
20160629,1040,21879,21906,21875,21897,133029
20160629,1045,21897,21933,21897,21933,140538
20160629,1050,21929,21943,21920,21933,148529
20160629,1055,21933,21983,21933,21965,251482
20160629,1100,21961,21965,21947,21961,199276
20160629,1105,21961,21965,21943,21947,133243
20160629,1110,21943,21956,21938,21956,61989
20160629,1115,21956,21961,21947,21952,34641
20160629,1120,21952,21952,21929,21943,71340
20160629,1125,21938,21956,21938,21956,47487
20160629,1130,21956,21961,21952,21956,29125
20160629,1135,21956,21965,21952,21961,71240
20160629,1140,21961,21965,21956,21965,54989
20160629,1145,21965,21974,21961,21965,61891
20160629,1150,21965,21983,21961,21970,117324
20160629,1155,21970,21988,21970,21988,63191
20160629,1200,21988,21992,21970,21992,60185
20160629,1205,21992,22001,21988,21997,56143
20160629,1210,21997,22028,21997,22019,157955
20160629,1215,22015,22024,22001,22006,25633
20160629,1220,22001,22006,21983,21983,89265
20160629,1225,21979,21988,21974,21983,44451
20160629,1230,21979,21997,21979,21988,19904
20160629,1235,21992,22006,21992,22001,31729
20160629,1240,22001,22015,22001,22015,22141
20160629,1245,22010,22015,22006,22015,72424
20160629,1250,22015,22019,21988,21988,43108
20160629,1255,21992,22006,21992,22006,32006
20160629,1300,21997,22006,21983,21988,89778
20160629,1305,21988,21992,21974,21983,34409
20160629,1310,21983,21992,21979,21979,107157
20160629,1315,21979,22001,21979,21988,161183
20160629,1320,21988,21992,21983,21983,47025
20160629,1325,21983,21992,21979,21979,57322
20160629,1330,21979,21983,21965,21970,45705
20160629,1335,21965,21970,21947,21947,182746
20160629,1340,21952,21970,21947,21970,63931
20160629,1345,21970,21974,21961,21970,30334
20160629,1350,21970,21992,21970,21988,137327
20160629,1355,21988,21992,21983,21988,35411
20160629,1400,21983,21983,21974,21979,31114
20160629,1405,21974,21979,21961,21970,77153
20160629,1410,21970,21974,21961,21970,76992
20160629,1415,21970,21979,21965,21970,44686
20160629,1420,21974,21979,21965,21970,100675
20160629,1425,21970,21979,21965,21965,70251
20160629,1430,21965,21970,21956,21965,98393
20160629,1435,21961,21970,21943,21947,94427
20160629,1440,21947,21952,21938,21947,99633
20160629,1445,21952,21952,21933,21938,122744
20160629,1450,21933,21956,21933,21952,224042
20160629,1500,21920,21920,21920,21920,65771
20160630,905,22033,22047,22019,22028,159733
20160630,910,22028,22047,21974,21974,156708
20160630,915,21979,21997,21974,21988,61999
20160630,920,21992,22015,21965,21979,124808
20160630,925,21979,21979,21938,21952,91622
20160630,930,21952,21983,21947,21974,63949
20160630,935,21974,22001,21974,21992,84018
20160630,940,22001,22006,21979,21983,57059
20160630,945,21979,21992,21970,21970,40505
20160630,950,21970,21988,21965,21988,47114
20160630,955,21988,21997,21983,21988,61950
20160630,1000,21988,21992,21961,21979,75490
20160630,1005,21974,21974,21938,21943,96820
20160630,1010,21943,21943,21911,21929,105293
20160630,1015,21929,21933,21924,21929,16242
20160630,1020,21929,21961,21920,21961,56693
20160630,1025,21956,21983,21956,21974,48707
20160630,1030,21970,21979,21947,21947,54283
20160630,1035,21947,21952,21915,21943,104939
20160630,1040,21943,21952,21924,21943,73727
20160630,1045,21938,21965,21933,21965,62731
20160630,1050,21965,21974,21956,21965,76001
20160630,1055,21961,21974,21961,21974,26307
20160630,1100,21965,21983,21965,21974,38815
20160630,1105,21974,21979,21961,21979,34210
20160630,1110,21974,21997,21965,21979,80398
20160630,1115,21983,21997,21979,21997,32626
20160630,1120,21997,22010,21992,21997,53970
20160630,1125,21997,21997,21979,21983,58537
20160630,1130,21983,22001,21979,21992,43276
20160630,1135,22001,22010,21997,22001,28489
20160630,1140,22006,22019,21992,21992,59610
20160630,1145,21997,22006,21992,21997,21897
20160630,1150,21997,22015,21997,22010,36308
20160630,1155,22015,22019,22006,22015,44980
20160630,1200,22015,22028,22001,22010,36069
20160630,1205,22010,22019,22006,22019,39949
20160630,1210,22019,22042,22015,22038,45197
20160630,1215,22038,22047,22028,22033,59203
20160630,1220,22028,22042,22015,22038,50229
20160630,1225,22038,22042,22024,22038,58145
20160630,1230,22033,22042,22033,22033,62445
20160630,1235,22033,22038,22028,22033,34496
20160630,1240,22033,22038,22019,22019,30616
20160630,1245,22019,22024,22006,22010,35201
20160630,1250,22010,22015,22006,22015,50690
20160630,1255,22010,22024,22010,22024,37248
20160630,1300,22024,22024,22015,22015,16269
20160630,1305,22015,22033,22015,22033,61947
20160630,1310,22033,22042,22028,22033,65878
20160630,1315,22033,22038,22024,22033,57311
20160630,1320,22033,22038,22028,22028,26351
20160630,1325,22033,22042,22028,22033,50781
20160630,1330,22038,22047,22028,22047,48787
20160630,1335,22047,22056,22033,22033,94110
20160630,1340,22033,22033,22010,22010,96393
20160630,1345,22010,22028,22010,22019,58563
20160630,1350,22015,22019,22006,22015,75182
20160630,1355,22010,22015,22001,22001,24246
20160630,1400,22006,22019,22001,22010,68212
20160630,1405,22010,22024,22010,22019,41751
20160630,1410,22019,22019,22010,22015,34706
20160630,1415,22010,22015,22001,22006,57790
20160630,1420,22006,22010,21992,21992,52008
20160630,1425,21997,22010,21983,22010,63752
20160630,1430,22010,22015,22006,22010,40413
20160630,1435,22010,22019,22010,22015,52007
20160630,1440,22015,22024,22010,22019,69135
20160630,1445,22015,22042,22015,22042,167638
20160630,1450,22042,22047,22033,22038,68360
20160630,1500,22078,22078,22078,22078,186488
20160701,905,22096,22128,22083,22110,142775
20160701,910,22105,22178,22105,22169,124153
20160701,915,22169,22205,22155,22205,96818
20160701,920,22209,22228,22191,22200,127139
20160701,925,22200,22209,22191,22200,113547
20160701,930,22200,22214,22196,22209,33167
20160701,935,22209,22250,22209,22223,152303
20160701,940,22223,22223,22187,22200,56303
20160701,945,22200,22223,22191,22223,68109
20160701,950,22223,22232,22205,22223,76490
20160701,955,22223,22241,22219,22232,78746
20160701,1000,22228,22232,22219,22228,107339
20160701,1005,22223,22237,22214,22223,142347
20160701,1010,22209,22223,22209,22219,23965
20160701,1015,22219,22259,22219,22259,80587
20160701,1020,22259,22286,22246,22286,108959
20160701,1025,22286,22295,22250,22255,116324
20160701,1030,22255,22273,22246,22273,34153
20160701,1035,22268,22273,22264,22273,34303
20160701,1040,22273,22273,22259,22268,25403
20160701,1045,22264,22268,22255,22259,41548
20160701,1050,22255,22273,22241,22268,123396
20160701,1055,22259,22277,22250,22255,46050
20160701,1100,22250,22255,22214,22228,68286
20160701,1105,22219,22237,22219,22232,42672
20160701,1110,22232,22250,22228,22237,32487
20160701,1115,22237,22250,22237,22246,43917
20160701,1120,22246,22255,22246,22255,44002
20160701,1125,22255,22264,22246,22264,59399
20160701,1130,22264,22264,22250,22255,30428
20160701,1135,22255,22264,22255,22255,29469
20160701,1140,22259,22277,22255,22264,58981
20160701,1145,22264,22268,22259,22259,3522
20160701,1150,22259,22273,22259,22264,48976
20160701,1155,22268,22286,22264,22282,70145
20160701,1200,22286,22309,22277,22295,140187
20160701,1205,22295,22300,22291,22295,143834
20160701,1210,22295,22304,22295,22300,36527
20160701,1215,22300,22300,22286,22291,69059
20160701,1220,22291,22300,22286,22300,57059
20160701,1225,22295,22304,22295,22295,27240
20160701,1230,22295,22295,22286,22291,43086
20160701,1235,22291,22300,22286,22295,32041
20160701,1240,22300,22309,22300,22309,72986
20160701,1245,22304,22314,22304,22314,84780
20160701,1250,22314,22323,22309,22318,25545
20160701,1255,22309,22318,22304,22314,47737
20160701,1300,22318,22318,22300,22304,47761
20160701,1305,22304,22314,22300,22309,49087
20160701,1310,22314,22314,22304,22314,6022
20160701,1315,22309,22318,22309,22314,24671
20160701,1320,22314,22318,22304,22309,149609
20160701,1325,22314,22314,22295,22295,104308
20160701,1330,22295,22314,22295,22309,57859
20160701,1335,22314,22318,22304,22314,44594
20160701,1340,22314,22323,22286,22309,128778
20160701,1345,22304,22309,22295,22300,37058
20160701,1350,22304,22309,22300,22304,53617
20160701,1355,22304,22318,22304,22318,44164
